DATE,RELEASE_STAGE,DIRECTOR_VERSION,CF_RELEASE_COMMIT_SHA,CF_DEPLOYMENT_STEMCELL,DIEGO_RELEASE_VERSION,DIEGO_RELEASE_COMMIT_SHA,DIEGO_DEPLOYMENT_STEMCELL
Fri Apr 24 23:42:28 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1151.0,167be961,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 23:52:14 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1151.0,167be961,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Sat Apr 25 03:05:04 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1152.0,f99862a4,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Sat Apr 25 03:28:26 UTC 2015,development,1.2891.0,3330364f,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1153.0,4940903e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Sat Apr 25 03:39:34 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1153.0,4940903e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Sat Apr 25 03:54:36 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1153.0,4940903e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 10:03:22 UTC 2015,development,1.2891.0,3330364f,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1155.0,a2cd96f9,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 10:32:08 UTC 2015,development,1.2891.0,3330364f,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1156.0,cb252f33,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 10:46:26 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1156.0,cb252f33,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 10:54:08 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1156.0,cb252f33,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 10:58:12 UTC 2015,development,1.2891.0,3330364f,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1157.0,4316fb38,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 11:09:28 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1157.0,4316fb38,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Mon Apr 27 11:20:02 UTC 2015,release_candidate,1.2859.0,3330364f,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1157.0,4316fb38,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Tue Apr 28 21:47:21 UTC 2015,development,1.2891.0,6dbe6e59,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1163.0,95ce0a63,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Tue Apr 28 21:54:29 UTC 2015,development,1.2891.0,6dbe6e59,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1163.0,95ce0a63,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 00:00:26 UTC 2015,development,1.2891.0,88ac17d0,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1166.0,ae4c53f1,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 00:19:53 UTC 2015,release_candidate,1.2859.0,88ac17d0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1165.0,424a6a13,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 02:03:10 UTC 2015,development,1.2891.0,c47c795e,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1168.0,21cdf3c4,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 02:10:43 UTC 2015,release_candidate,1.2859.0,c47c795e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1167.0,f3b576e8,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 02:14:43 UTC 2015,development,1.2891.0,c47c795e,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1168.0,21cdf3c4,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 02:30:49 UTC 2015,release_candidate,1.2859.0,c47c795e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1168.0,575f7f8c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 02:52:28 UTC 2015,development,1.2891.0,c47c795e,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1169.0,4d0f2140,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 03:02:29 UTC 2015,release_candidate,1.2859.0,c47c795e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1169.0,4d0f2140,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Wed Apr 29 23:27:53 UTC 2015,release_candidate,1.2859.0,7b859ded,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1172.0,da990da3,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2950
Fri May 1 19:15:24 UTC 2015,release_candidate,1.2859.0,f2de8d8c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941,0.1181.0,0c4c501c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2957
Tue May 5 16:01:31 UTC 2015,release_candidate,1.2859.0,a8a68628,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1184.0,9c9ef4ab,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Wed May 6 00:25:25 UTC 2015,release_candidate,1.2859.0,a8a68628,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1185.0,ead7e393,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
