date,cf-release-commit-sha,diego-release-version,garden-linux-release-version,etcd-release-version,cflinuxfs2-rootfs-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2016-09-13T18:25:47Z,c4d6e3d50fbf717c00c5fb6b9fada5cb4b5d5246,0.1485.0,0.342.0,67,1.29.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.12,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.12,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/120,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/237,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/77
2016-09-14T20:42:31Z,acd73ee7f26d55d685c5e4f14b440d55c3ddf3e4,0.1485.0,0.342.0,67,1.29.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.12,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.12,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/123,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/239,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/78
2016-09-15T20:29:47Z,29186ea1a6b081c2623ed7faa853d4a591b8b33a,0.1485.0,0.342.0,67,1.29.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.12,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.12,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/127,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/241,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/79
2016-09-16T18:53:15Z,29186ea1a6b081c2623ed7faa853d4a591b8b33a,0.1485.0,0.342.0,67,1.29.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.12,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.14,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/127,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/241,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/80
2016-09-17T06:14:48Z,ee7d00886397fa9d1ee0f3aa9d3b1c236a077336,0.1485.0,0.342.0,67,1.29.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.14,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.14,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/132,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/245,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/84
2016-09-20T00:29:44Z,8a437198b22d5a0ed1d4fa8fc0206095f696c496,0.1485.0,0.342.0,67,1.30.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.14,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.14,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/134,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/247,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/86
2016-09-20T21:45:18Z,8a46d3d3ffef6047acf49f7628195f3510b0c1cb,0.1485.0,0.342.0,67,1.30.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/136,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/254,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/88
2016-09-24T00:46:21Z,a3fa27686a18e39cdcf8a404c5f5d0682c282a72,0.1486.0,0.342.0,70,1.33.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.2,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.2,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/6,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/14,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/8
2016-09-26T19:09:06Z,a3fa27686a18e39cdcf8a404c5f5d0682c282a72,0.1486.0,0.342.0,70,1.33.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.2,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.3,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/7,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/14,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/9
2016-09-27T17:42:21Z,9f17fc513db1993ad088c3c9abb08eee6aed3230,0.1486.0,0.342.0,71,1.33.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.3,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.3,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/8,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/17,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/11
2016-09-29T16:16:49Z,bcf015112afcf6688255b0e5d2204959a256774c,0.1486.0,0.342.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.4,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.4,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/16,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/26,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/19
2016-09-29T22:18:36Z,7dbb775af116d1dbaed41432f79940d3ca6278fa,0.1486.0,0.342.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.4,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.4,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/18,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/28,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/21
